,title,time,result
0,"HPG tăng vùn vụt, ông Trần Đình Long bỏ túi thêm gần 3.000 tỷ, giá trị cổ phiếu đứng tên cá nhân sở hữu ""giàu"" vượt ông Phạm Nhật Vượng",25-06-2023 - 08:08 AM,70.0
1,"Tầng lớp trung lưu đang gia tăng, 1 doanh nghiệp trong hệ sinh thái của ông Phạm Nhật Vượng được kỳ vọng hưởng lợi lớn",21-06-2023 - 09:14 AM,70.0
2,Ông Phạm Nhật Vượng và các tỷ phú Việt giàu cỡ nào?,16-06-2023 - 16:25 PM,75.0
3,"Ông Phạm Nhật Vượng kêu gọi ‘xe tốt – giá tốt – dịch vụ hậu mãi cực tốt’, VinFast tiếp tục công bố hậu mãi đặc biệt: Trả khách 'tiền tươi’ nếu xe gặp lỗi do nhà sản xuất",14-06-2023 - 15:47 PM,65.0
4,"Chưa chính thức chào bán, Vinfast VF3 của tỷ phú Phạm Nhật Vượng đã được trang tin nước ngoài khen ngợi: Đến người Mỹ cũng phải ghen tị",11-06-2023 - 10:09 AM,78.0
5,GSM của tỷ phú Phạm Nhật Vượng sắp mở dịch vụ xe ôm công nghệ bằng điện đầu tiên trên thế giới?,05-06-2023 - 20:22 PM,68.0
6,"Tư duy 'bắt trend' đỉnh cao của tỷ phú Phạm Nhật Vượng: mở công ty GSM đối tác 'chốt đơn' xe điện ầm ầm, ngày xe điện phủ sóng Việt Nam không còn xa",03-06-2023 - 00:01 AM,78.0
7,Bộ GTVT đồng ý cho hãng taxi điện của ông Phạm Nhật Vượng được hoạt động ở các sân bay,01-06-2023 - 10:40 AM,65.0
8,"Trường đại học đạt chuẩn quốc tế ""Made in Vietnam"" của tỷ phú Phạm Nhật Vượng: Đầu tư ‘khủng’ 6.500 tỷ đồng nhưng tuyên bố hoạt động phi lợi nhuận",23-05-2023 - 09:35 AM,75.0
9,Xe điện mini có gì hấp dẫn mà ông Phạm Nhật Vượng khẩn trương tham gia?,19-05-2023 - 13:45 PM,68.0
10,"VinFast của ông Phạm Nhật Vượng vừa tuyên bố làm xe điện siêu nhỏ, đã có đối thủ tới từ Trung Quốc sẵn sàng vào thị trường Việt Nam",17-05-2023 - 19:35 PM,45.0
11,"Chủ tịch Phạm Nhật Vượng lần đầu chia sẻ về lý do làm Vinfast: ""Nếu chỉ vì tiền, Vingroup không dại gì làm ôtô""",17-05-2023 - 14:20 PM,90.0
12,"Tỷ phú Phạm Nhật Vượng: Chỉ cần sản phẩm tốt, người Việt sẽ ủng hộ xe điện VinFast",17-05-2023 - 13:39 PM,75.0
13,Ông Phạm Nhật Vượng nói gì về kế hoạch chia sẻ trạm sạc xe điện?,17-05-2023 - 12:45 PM,75.0
14,"Ông Phạm Nhật Vượng: “Giá VIC rất thấp so với giá trị thực, anh chỉ mất khi anh bán, chưa bán thì chưa mất gì cả”",17-05-2023 - 11:38 AM,90.0
15,Ông Phạm Nhật Vượng: “VinFast sắp ra mắt xe siêu nhỏ nhưng rất đẹp”,17-05-2023 - 10:41 AM,85.0
16,"Chủ tịch Phạm Nhật Vượng: ""VinFast sẽ sớm mang lại niềm vui tài chính cho mọi người""",17-05-2023 - 09:16 AM,65.0
17,"Chỉ với 3.500 xe điện chạy taxi, công ty này vừa gọi vốn thành công 1.000 tỷ đồng: Taxi Xanh SM của tỷ phú Phạm Nhật Vượng hoàn toàn “có cửa”",04-05-2023 - 13:52 PM,68.0
18,"Sau 51 ngày thần tốc, taxi ""Phạm Nhật Vượng"" tuyển 1.700 nhân viên, 400.000 người tải app, cùng các hãng taxi phủ xanh 5 thành phố",01-05-2023 - 08:58 AM,75.0
19,"Toàn dân vừa nghỉ lễ, hãng taxi điện của ông Phạm Nhật Vượng đã có mặt tại sân bay Nội Bài",29-04-2023 - 06:03 AM,70.0
20,"Én Vàng Taxi mua + thuê 150 xe điện từ công ty của ông Phạm Nhật Vượng, mở dịch vụ taxi điện đầu tiên ở Hải Phòng",28-04-2023 - 15:43 PM,65.0
21,"Trang tin Mỹ nói gì về việc tỷ phú Phạm Nhật Vượng tài trợ 1 tỷ USD tài sản cá nhân cho VinFast dù trước đó được cho là ''chưa có kế hoạch''?
",28-04-2023 - 11:00 AM,70.0
22,"Hơn 10 tỷ USD mà ông Phạm Nhật Vượng và Vingroup ""bơm"" cho VinFast bao gồm những gì?",28-04-2023 - 07:42 AM,68.0
23,Cận cảnh hàng trăm taxi điện của tỉ phú Phạm Nhật Vượng tại TP HCM,27-04-2023 - 15:27 PM,65.0
24,"Taxi điện của tỷ phú Phạm Nhật Vượng tiếp tục tuyển bổ sung tài xế tại Huế, chuẩn bị mở rộng ""địa bàn"": Lái xe sang lương 11 triệu đồng với yêu cầu cao, nhưng nhiều người cùng thắc mắc 1 điều ",27-04-2023 - 15:04 PM,63.0
25,Ông Phạm Nhật Vượng tài trợ 1 tỷ USD cho VinFast từ nguồn tài sản cá nhân,26-04-2023 - 17:06 PM,90.0
26,Lãnh đạo Vinasun nói không ngại cạnh tranh với taxi điện của tỉ phú Phạm Nhật Vượng,25-04-2023 - 14:28 PM,55.0
27,Taxi điện của ông Phạm Nhật Vượng bắt đầu chạy thử nghiệm tại TP.HCM từ tuần sau,22-04-2023 - 13:29 PM,70.0
28,"Vừa ra mắt 7 ngày, taxi điện của ông Phạm Nhật Vượng đã tuyển bổ sung tài xế: Lái xe hạng sang lương 14 triệu có nhiều yêu cầu khác biệt bất ngờ so với hạng tiêu chuẩn",21-04-2023 - 16:05 PM,75.0
29,"Vinasun tái sinh mạnh trước khi taxi ""Phạm Nhật Vượng"" nhập cuộc thị trường TP. HCM: Lãi gấp 8 lần, cứ 5 giây có 1 người đặt app",20-04-2023 - 07:00 AM,70.0
30,CEO Vingroup chia sẻ tham vọng phát triển công ty taxi điện GSM của tỷ phú Phạm Nhật Vượng là vươn tầm châu Á,18-04-2023 - 17:09 PM,75.0
31,Taxi điện của tỉ phú Phạm Nhật Vượng bất ngờ xuất hiện tại TP HCM,18-04-2023 - 14:35 PM,70.0
32,"CEO Taxi ""Phạm Nhật Vượng"" tiết lộ con số khủng ngày chính thức ra mắt: Dự án nghìn tỷ làm trong 38 ngày, năm nay chạy 10.000 xe",14-04-2023 - 19:36 PM,64.0
33,Winmart chưa thể cắt lỗ sau thương vụ 'sang tay' từ tỷ phú Phạm Nhật Vượng,14-04-2023 - 18:48 PM,35.0
34,"Taxi Xanh SM của ông Phạm Nhật Vượng vừa ra mắt chưa đầy 24h, phản ứng của người dùng: “Tiền nào của nấy”",14-04-2023 - 14:29 PM,62.0
35,"Hãng taxi điện của ông Phạm Nhật Vượng chính thức vận hành tại Hà Nội: quy mô ban đầu 500 xe VF e34, 100 xe VF8, sẽ ‘Nam tiến’ ngay trong tháng này",14-04-2023 - 12:43 PM,50
36,"Sau khi ông Phạm Nhật Vượng gia nhập ngành, 1 công ty xây dựng cũng bơm vốn quyết đấu ở sân chơi taxi",13-04-2023 - 00:50 AM,50
37,Doanh số VF e34 tăng vọt sau khi tỷ phú Phạm Nhật Vượng lập hãng taxi điện,10-04-2023 - 10:46 AM,50
38,Tỷ phú Phạm Nhật Vượng: ‘Chúng ta chỉ có thể giành được thắng lợi nếu chấp nhận hy sinh’,09-04-2023 - 22:26 PM,50
39,"Hãng taxi điện của ông Phạm Nhật Vượng chính thức vận hành từ 14/4, giá cước từ 14.000 đồng/km",08-04-2023 - 09:56 AM,50
40,Chủ tịch Phạm Nhật Vượng tiết lộ mấu chốt giúp Vingroup có thể thành công chinh phục thế giới,07-04-2023 - 19:18 PM,50
41,"Chỉ 4 tiếng lên App Store, ứng dụng đặt taxi điện VinFast của công ty ông Phạm Nhật Vượng đã dẫn đầu lượt tải một danh mục",07-04-2023 - 10:16 AM,50
42,"Thử trải nghiệm taxi điện VinFast của ông Phạm Nhật Vượng: Ứng dụng tương tự Be, Grab..., khách hàng được trải nghiệm tính năng đặc biệt chỉ mình VinFast có",05-04-2023 - 16:59 PM,50
43,"Ahamove mua 200 xe VinFast để mở dịch vụ cho thuê xe máy điện đầu tiên tại Việt Nam, sẽ thuê 1.000 xe từ công ty riêng của ông Phạm Nhật Vượng",31-03-2023 - 14:36 PM,50
44,"Việt Nam có 'cơn sốt' taxi điện của ông Phạm Nhật Vượng còn đây là loại hình taxi đang khiến cả thế giới 'đứng ngồi không yên', ông lớn rót hàng tỷ USD để giành thị phần",31-03-2023 - 10:02 AM,50
45,"Công ty taxi điện của ông Phạm Nhật Vượng tìm đối tác tài xế Greencar Luxury VF8: Lương gần 14 triệu đồng, có khả năng nói tiếng Anh và cao từ 1m70 trở lên",30-03-2023 - 07:29 AM,50
46,Ông Phạm Nhật Vượng cùng loạt tỷ phú USD nhận lương 0 đồng,29-03-2023 - 14:44 PM,50
47,"'Miếng bánh' gọi xe công nghệ rơi vào tay ông lớn ngoại, công ty của ông Phạm Nhật Vượng hợp sức với Be liệu có vẽ lại thị trường?",29-03-2023 - 09:25 AM,50
48,"Hãng taxi điện của tỷ phú Phạm Nhật Vượng tuyển tài xế với tiêu chuẩn ngoại hình tương đương nhân viên ngân hàng: Cao trên 1,65m, không hình xăm lộ",27-03-2023 - 15:46 PM,50
49,"Dạy con HAY như tỷ phú Việt: Ông Phạm Nhật Vượng yêu cầu con bốc gạch cả mùa hè để kiếm tiền; ‘vua thép’ ghét chuyện con ông cháu cha, ép con phải ‘tự thân vận động’",27-03-2023 - 14:01 PM,50
50,Taxi điện của tỉ phú Phạm Nhật Vượng sẽ có mặt ở 5 thành phố lớn trong năm nay,25-03-2023 - 15:25 PM,50
51,"Ông Phạm Nhật Vượng hoàn tất chuyển 50,8 triệu cổ phiếu VIC cho GSM, Vingroup có thêm cổ đông tổ chức mới",25-03-2023 - 10:07 AM,50
52,"CEO 9x được ông Phạm Nhật Vượng chọn: 'Taxi điện GSM ra đời để người dùng đích thân trải nghiệm xe điện VinFast, không phải 'nghe nói' nữa'",24-03-2023 - 15:32 PM,50
53,"Chuyên gia giải mã thương vụ GSM của tỷ phú Phạm Nhật Vượng đầu tư vào Be Group, chỉ ra mấu chốt quyết định 90% khả năng thành công",24-03-2023 - 15:06 PM,50
54,"Chiêu mộ với mức lương và hoa hồng khủng, đãi ngộ dành cho tài xế lái taxi điện của công ty ông Phạm Nhật Vượng có gì khác các hãng taxi truyền thống?",24-03-2023 - 14:20 PM,50
55,Đội xe taxi điện của ông Phạm Nhật Vượng sẽ gồm những mẫu nào?,22-03-2023 - 20:28 PM,50
56,"Lộ diện chiếc ô tô điện sẽ được tỷ phú Phạm Nhật Vượng dùng làm dịch vụ taxi: Mẫu mã, màu sắc ra sao?",22-03-2023 - 15:28 PM,50
57,"Trước khi được công ty taxi của ông Phạm Nhật Vượng đầu tư, Be Group đang chạy đua với Grab, Gojek ra sao?",22-03-2023 - 15:13 PM,50
58,Tiết lộ sở thích khó bỏ của tỷ phú Phạm Nhật Vượng và Đặng Lê Nguyên Vũ: Đi đôi giày 75.000 đồng nhưng ‘vua cà phê’ sẵn sàng chi 5 tỷ USD để đầu tư vào đây,22-03-2023 - 14:26 PM,50
59,"Để hưởng mức lương cứng 11 triệu đồng và 25% hoa hồng, tài xế làm việc cho công ty taxi điện của ông Phạm Nhật Vượng phải đáp ứng những yêu cầu gì?",22-03-2023 - 11:15 AM,50
60,"Nóng: Công ty GSM của tỷ phú Phạm Nhật Vượng bất ngờ đầu tư vào Be Group, hỗ trợ tài xế chuyển sang xe điện",21-03-2023 - 14:13 PM,50
61,Nói là làm – công ty taxi điện của ông Phạm Nhật Vượng bắt đầu đào tạo tài xế ngay từ ngày mai,17-03-2023 - 21:42 PM,50
62,"Ông Phạm Nhật Vượng thành lập công ty taxi điện, các hãng taxi truyền thống liền đua nhau chiêu mộ tài xế",17-03-2023 - 13:05 PM,50
63,Tỷ phú Phạm Nhật Vượng chuyển nhượng 50 triệu cổ phiếu Vingroup để góp vốn,15-03-2023 - 19:24 PM,50
64,"""Công thức"" chung của tỷ phú Phạm Nhật Vượng khi chọn sếp trẻ cho các doanh nghiệp của mình",15-03-2023 - 15:12 PM,50
65,"Công ty GSM của ông Phạm Nhật Vượng công bố bảng giá dịch vụ cho thuê xe điện VinFast: Thấp nhất 9,5 triệu/tháng với VF5",15-03-2023 - 09:32 AM,50
66,"9X xóm ngụ cư được tỷ phú Phạm Nhật Vượng “chọn mặt gửi vàng” làm CEO của GSM: 18 tuổi thành lập nhà máy dệt riêng, 27 tuổi đầu quân cho Vingroup, là nhân tài được Forbes vinh danh",15-03-2023 - 07:00 AM,50
67,"CEO 9X được ông Phạm Nhật Vượng chọn cho công ty cho thuê xe và taxi: Bỏ học đại học, kinh qua 9 công ty, lọt danh sách Forbes Under 30 Asia năm 2022",14-03-2023 - 16:27 PM,50
68,"Ông Phạm Nhật Vượng kêu gọi 'xe tốt - giá tốt - dịch vụ hậu mãi cực tốt', VinFast lập tức triển khai xưởng dịch vụ 'không ngày nghỉ' - phục vụ từ sáng đến 21h, 'tăng bo' luôn cả chủ nhật",13-03-2023 - 11:35 AM,50
69,Tỉ phú Phạm Nhật Vượng sẽ thay đổi cuộc chơi trên thị trường taxi?,11-03-2023 - 21:19 PM,50
70,Bức tranh thị trường taxi Việt ra sao trước khi ‘tân binh’ 3.000 tỷ của ông Phạm Nhật Vượng gia nhập?,11-03-2023 - 09:34 AM,50
71,"Công ty taxi điện của ông Phạm Nhật Vượng tìm đối tác tài xế: cam kết lương cứng lên đến 11 triệu đồng, hoa hồng 25% tổng doanh thu tháng",09-03-2023 - 17:42 PM,50
72,"Liên tục rót vài chục nghìn tỷ thành lập mới, tỷ phú Phạm Nhật Vượng đang sở hữu những công ty gì?",07-03-2023 - 00:57 AM,50
73,Ông Phạm Nhật Vượng thành lập công ty vốn 3.000 tỷ cung cấp dịch vụ cho thuê xe và taxi điện VinFast,06-03-2023 - 16:01 PM,50
74,Chủ tịch Phạm Nhật Vượng: 'VinFast là dự án kinh doanh nhưng được lập ra với một sứ mệnh cao cả',03-03-2023 - 20:43 PM,50
75,Bài học lớn từ tỷ phú Phạm Nhật Vượng của CEO startup dịch vụ hỗ trợ TMĐT số 1 Việt Nam,15-02-2023 - 10:30 AM,50
76,Ô tô điện ‘Make in Vietnam’ hiện thực hóa giấc mơ ‘cắm cờ trên đất Mỹ’ của tỷ phú Phạm Nhật Vượng,30-12-2022 - 00:02 AM,50
77,Bản đồ các tỷ phú giàu nhất mỗi quốc gia/vùng lãnh thổ: Ông Phạm Nhật Vượng được xướng tên,28-12-2022 - 14:46 PM,50
78,"Viet Vision - công ty do Hà Anh Tuấn đứng sau: Làm nhạc cho giải thưởng VinFuture của tỷ phú Phạm Nhật Vượng, ""đại gia"" Masterise, Trung Nguyên tín nhiệm",20-12-2022 - 14:12 PM,50
79,"Giáo sư gốc Việt của Hội đồng Sơ khảo VinFuture: Tỷ phú trên thế giới không thiếu, nhưng có bao nhiêu người làm những việc như anh Phạm Nhật Vượng?",18-12-2022 - 09:42 AM,50
80,"Ông Phạm Nhật Vượng ""mất"" gần 21.000 tỷ chỉ sau 1 tuần, ông Trần Đình Long ''gỡ"" lại vị trí người giàu thứ 2 TTCK, người nhà VPBank thăng hạng",18-12-2022 - 07:46 AM,50
81,Xe điện giá rẻ nhất của ông Phạm Nhật Vượng nhận bao nhiêu đơn đặt hàng ngày mở bán?,11-12-2022 - 10:05 AM,50
82,Hé lộ tâm thư ông Phạm Nhật Vượng viết gửi nhà đầu tư trong hồ sơ IPO tại Mỹ của VinFast,07-12-2022 - 11:42 AM,50
83,Bên trong con tàu khổng lồ dài 183m chở 'giấc mơ Mỹ' của ông Phạm Nhật Vượng,26-11-2022 - 13:06 PM,50
84,Vì sao ông Phạm Nhật Vượng đổ nghìn tỷ xây liền 2 nhà máy pin trong chưa đầy một năm?,22-11-2022 - 10:29 AM,50
85,Ông Phạm Nhật Vượng xuất khẩu xe điện sang Mỹ ngày 25/11,21-11-2022 - 11:20 AM,50
86,"Tỷ phú Phạm Nhật Vượng đã chuyển nhượng hơn 243 triệu cổ phiếu VIC cho VMI, Vingroup có cổ đông lớn mới",18-11-2022 - 19:43 PM,50
87,"Thăng trầm tài sản các tỷ phú đô la Việt Nam từ 2020 đến nay: Ông Phạm Nhật Vượng ""bay"" một nửa so với đỉnh, ông Trần Đình Long 2 lần ""rớt"" khỏi danh sách",12-11-2022 - 13:19 PM,50
88,Công ty mới của ông Phạm Nhật Vượng điều chỉnh mỗi suất đầu tư còn 38 triệu đồng,09-11-2022 - 14:12 PM,50
89,CATL - 'ông trùm pin' vừa ký thỏa thuận với ông Phạm Nhật Vượng 'mạnh' tới cỡ nào?,01-11-2022 - 08:36 AM,50
90,Ông Phạm Nhật Vượng sang Nhật Bản ký hợp tác chiến lược phát triển xe điện cùng CATL,31-10-2022 - 16:04 PM,50
91,Bộ Công an: Ông Phạm Nhật Vượng không nằm trong danh sách cấm xuất cảnh,29-10-2022 - 18:58 PM,50
92,Vinhomes hé mở cụ thể việc hợp tác với công ty VMI của ông Phạm Nhật Vượng để bán BĐS cho nhà đầu tư vốn nhỏ,25-10-2022 - 15:16 PM,50
93,CEO VMI phản biện các nghi ngờ về công ty BĐS mới lập của ông Phạm Nhật Vượng,13-10-2022 - 07:14 AM,50
94,Công ty BĐS mới lập của ông Phạm Nhật Vượng được hứa hẹn sinh lời ra sao?,08-10-2022 - 10:23 AM,50
95,Vì sao tỷ phú Phạm Nhật Vượng có thể góp vốn bằng cổ phiếu VIC vào VMI?,07-10-2022 - 12:24 PM,50
96,Công ty BĐS mới lập của ông Phạm Nhật Vượng có giống quỹ tín thác đầu tư BĐS (REIT)?,07-10-2022 - 08:47 AM,50
97,Hé lộ những cổ đông công ty 18.000 tỷ vừa được tỷ phú Phạm Nhật Vượng thành lập,07-10-2022 - 07:20 AM,50
98,Mô hình kinh doanh độc đáo của công ty vốn 18.000 tỷ vừa được ông Phạm Nhật Vượng thành lập: Mua sản phẩm Vinhomes rồi chia thành 50 phần bán cho NĐT vốn nhỏ,06-10-2022 - 10:41 AM,50
99,"Tỷ phú Phạm Nhật Vượng lấy lại khối tài sản gần 10.000 tỷ chỉ sau 2 ngày, cổ phiếu bất động sản đồng loạt khởi sắc",05-10-2022 - 18:18 PM,50
100,"Tỉ phú Phạm Nhật Vượng không nhận thù lao, nhưng có thể đạt thu nhập ngàn tỉ từ cổ tức?",03-09-2022 - 19:06 PM,50
101,Ông Phạm Nhật Vượng nhận thù lao 0 đồng,30-08-2022 - 19:15 PM,70.0
102,"Tung tin giả về tỷ phú Phạm Nhật Vượng, phải bồi thường nếu gây thiệt hại cho thị trường chứng khoán",12-07-2022 - 16:15 PM,75.0
103,"Xác minh nhiều cá nhân thông tin ông Phạm Nhật Vượng, Chủ tịch Vingroup bị cấm xuất nhập cảnh",11-07-2022 - 16:11 PM,0.0
104,"Dạy con ""thành tài"" như tỷ phú Phạm Nhật Vượng: Cho con bốc gạch để kiếm tiền, ăn cơm xong tự dọn chứ không ai phục vụ, làm không được thì xuống chức",19-06-2022 - 12:39 PM,63.0
105,"Forbes công bố danh sách những người giàu nhất hành tinh, tỷ phú Phạm Nhật Vượng đứng ở đâu?",17-06-2022 - 16:19 PM,65.0
106,"Đọ khả năng kiếm tiền về cho tỷ phú Phạm Nhật Vượng của 3 cổ phiếu lớn ""họ nhà Vin"" trên sàn chứng khoán",23-05-2022 - 10:07 AM,70.0
